ticker;site;headline;date
GOOG;bloomberg;YouTube's Ad Revolt Seen Fleeting. Brands Just Can't Quit;2019-02-22
TSLA;cnbc;YouTube star gets free car for referring $10 million in Tesla;2018-07-13
AMZN;bbc;YouTube app removed from Amazon Fire TV kit early;2017-12-29
GOOG;theguardian;YouTube and Google boycott spreads to US as AT&T;2017-03-23
AAPL;bbc;Your pocket reach to buy Apple cheapest iPhone?;2018-06-18
AAPL;theguardian;Your new iPhone's features include oppression, inequality;2016-09-19
AAPL;nytimes;You Took Lousy iPhone Photos. Here's How to Make Them;2018-08-29
AAPL;bbc;You think Apple's new Airpods look like toothbrushes, tiny;2016-09-08
AMZN;wsj;You Might Be Buying Trash on Amazon—Literally;2019-12-18
GOOG;reuters;You have the right to be forgotten by Google - but only in;2019-09-24
TSLA;bloomberg;You Could Barely Squeeze a Tesla Into This $500K;2017-06-15
MSFT;wsj;Yes, AI Will Be Disruptive, Microsoft Executive Says;2018-12-07
GOOG;wsj;Yes, 'Google' Is Used as a Verb, but It's Still a Trademark,;2017-05-16
AAPL;cnbc;Year of the Mac: Apple is showing more attention to its line;2019-07-09
AMZN;reuters;XPO Logistics' top customer pulls back, Amazon suspected;2019-02-15
AAPL;cnbc;Xiaomi Mi MIX 2S answers Apple's iPhone X in China;2018-03-27
MSFT;bbc;Xiaomi buys Microsoft smartphone patents;2016-06-01
MSFT;theguardian;Xbox One X: Microsoft reveals most powerful;2017-06-12
MSFT;theguardian;Xbox One X: Microsoft is convinced we need it – but do we?;2017-06-30
MSFT;bbc;Xbox 360 games console discontinued by Microsoft;2016-04-20
MSFT;theguardian;Xbox 360 at 10: what are your memories of Microsoft's;2015-12-02
AMZN;bbc;Xaafadda ay Jeff Bezos iyo Bill Gates ku nool yihiin ee aan;2019-11-23
GOOGL;theguardian;X projects: Alphabet's 'moonshot' ventures that could;2016-02-05
AAPL;theguardian;WWDC 2019: Apple unveils new iOS, iPad OS, macOS and;2019-06-04
AMZN;bbc;Wrong-way Amazon lorries overrun villages in Coventry;2019-03-10
AAPL;bloomberg;Wozniak on the Steve Jobs Movie and Why Accuracy;2015-10-12
MSFT;cnbc;World's biggest ever airplane unveiled by Microsoft co-;2017-06-01
TSLA;bbc;World's biggest battery: a look around Tesla project;2018-09-30
GOOG;cnbc;World champion Go player takes on Google's AlphaGo;2017-05-22
AAPL;theguardian;Workflow bought by Apple: one of the best apps for power;2017-03-23
AMZN;theguardian;Workers not paid legally by Amazon contractor in China;2018-06-09
AMZN;reuters;Woody Allen, Amazon end legal dispute over movie deal;2019-11-09
AMZN;nytimes;Woody Allen Sues Amazon Over Canceled $68 Million Deal;2019-02-07
AMZN;bbc;Woody Allen sues Amazon for $68m for dropping A Rainy;2019-02-07
AMZN;theguardian;Woody Allen launches $68m legal action against Amazon;2019-02-07
AMZN;nytimes;Woody Allen and Amazon Settle Breach of Contract Lawsuit;2019-11-09
AMZN;theguardian;Woody Allen and Amazon end legal battle over four-film deal;2019-11-09
GOOG;theguardian;Women say they quit Google because of racial discrimination;2017-08-18
AAPL;bbc;Woman sues US border agents over seized iPhone;2018-08-24
AMZN;nytimes;With New Echo Speakers, Amazon Lets You Ask Alexa to;2017-05-09
TSLA;bloomberg;With More Self-Driving Tech, Is Tesla Ruining What's Best;2018-06-18
MSFT;nytimes;With LinkedIn, Microsoft Looks to Avoid Past Acquisition;2016-12-08
AAPL;wsj;With Jony Ive's Successor, Apple Bets a Pragmatist Can;2019-07-05
AAPL;nytimes;With iPhone and Stickers, a Doodling Artist Who Dreams Big;2017-08-01
AAPL;wsj;With iPhone 7 and 7 Plus, Apple Focuses on Photography;2016-09-07
