ticker,site,headline,date
AAPL,bbc,Five big things that have made Apple,2018-08-03
AAPL,bbc,Apple hints at lower iPhone prices as sales fall,2019-01-30
AAPL,bbc,'First Apple computer' sells for $815000 - BBC News,2016-08-26
AAPL,bbc,Apple apologises for slowing older iPhones down,2017-12-29
AAPL,bbc,Apple's iPhone 11 Pro and 'always-on' Watch unveiled,2019-09-10
AAPL,bbc,The Inquiry | Why Doesn't Apple Pay More Tax?,2017-11-23
AAPL,bbc,Apple: iPhone 7 helps US giant return to growth,2017-02-01
AAPL,bbc,Apple rejects order to unlock gunman's phone,2016-02-17
AAPL,bbc,Apple is first public company worth $1 trillion,2018-08-02
AAPL,bbc,Apple Watch: Why it's set at 10:09,2015-03-10
AAPL,bbc,Apple dissolves iTunes into new apps,2019-06-03
AAPL,bbc,Apple and Qualcomm settle billion-dollar lawsuit,2019-04-17
AAPL,bbc,Four reasons that Apple shares have been falling,2018-11-20
AAPL,bbc,Apple's iPhones slowed to tackle ageing batteries,2017-12-21
AAPL,bbc,Apple's 'sexist' credit card investigated by US regulator,2019-11-11
AAPL,bbc,Apple iPhone XS unveiled alongside fall-detecting Watch,2018-09-12
AAPL,bbc,"Apple Watch: The smartwatch ships, but does it deliver?",2015-04-24
AAPL,bbc,Apple iPhone X: The internet reacts,2017-09-12
AAPL,bbc,Angry Frenchman destroys iPhones at a Dijon Apple Store,2016-09-30
AAPL,bbc,Apple iPhone sales drop at record pace,2019-05-01
AAPL,bbc,Apple investigated by France for 'planned obsolescence',2018-01-08
AAPL,bbc,Can health services handle the Apple Watch?,2018-09-13
AAPL,bbc,Apple in 2016: Is the mighty iPhone in decline?,2016-01-26
AAPL,bbc,Google reveals fistful of flaws in Apple's iMessage app,2019-07-30
AAPL,bbc,Apple loses trademark fight over 'iPhone' name in China,2016-05-04
AAPL,bbc,Paradise Papers: Apple's secret tax bolthole revealed,2017-11-06
AAPL,bbc,Apple brings ad-blocker extensions to Safari on iPhones,2015-09-08
AAPL,bbc,Apple iPhone X: The network of suppliers set to benefit,2017-09-13
AAPL,bbc,Imagination Technologies' shares plunge after Apple ends,2017-04-03
AAPL,bbc,Apple in court over 30% app commission,2018-11-26
AAPL,bbc,Apple Watch owners asked to return devices for repair after,2018-10-31
AAPL,bbc,Apple iCloud: State firm hosts user data in China,2018-07-18
AAPL,bbc,US pushes Apple for access to iPhones in criminal cases,2016-04-08
AAPL,bbc,Apple posts the biggest quarterly profit in history,2015-01-28
AAPL,bbc,FBI-Apple case: Investigators break into dead San,2016-03-29
AAPL,bbc,Apple Card can be damaged by wallets and jeans,2019-08-22
AAPL,bbc,A brief history of Apple's iTunes,2019-06-04
AAPL,bbc,Apple fixes iPhone letter 'i' bug,2017-11-10
AAPL,bbc,Apple to create $1bn Texas base,2018-12-13
AAPL,bbc,Original working Apple-I computer fetches $375000 at,2018-09-25
AAPL,bbc,Apple: 'US Founders would be appalled',2016-03-16
AAPL,bbc,Apple changes Crimea map to meet Russian demands,2019-11-27
AAPL,bbc,Apple Music changes policy after Taylor Swift stand,2015-06-22
AAPL,bbc,Apple asks court to reverse FBI iPhone order,2016-02-25
AAPL,bbc,Apple v the FBI - a plain English guide,2016-02-18
AAPL,bbc,Regent Street Apple store guard threatened by moped gang,2017-11-13
AAPL,bbc,How climate change could kill the red apple,2019-11-20
AAPL,bbc,Apple awarded $539m in US patent case against Samsung,2018-05-24
AAPL,bbc,Can a new apple take over the world?,2019-10-16
AAPL,bbc,Man sues Apple claiming iPhone turned him gay,2019-10-04
AAPL,bbc,Apple explains Face ID on-stage failure,2017-09-14
AAPL,bbc,Apple at 40: The forgotten founder who gave it all away,2016-04-01
AAPL,bbc,Apple boss Tim Cook hits back at FBI investigation,2016-02-25
AAPL,bbc,Apple brings Siri to Macs and lets it talk to apps,2016-06-13
AAPL,bbc,The birthplace of the modern apple,2018-11-21
AAPL,bbc,"Apple to start making iPhones in India, says state government",2017-02-03
AAPL,bbc,Apple's App Store infected with XcodeGhost malware in,2015-09-21
AAPL,bbc,Apple tax case: Why is Ireland refusing billions?,2016-09-07
