ticker,site,headline,date
AAPL,theguardian,Apple contractors 'regularly hear confidential details' on Siri,2019-07-26
AAPL,theguardian,40 years of Apple - in pictures,2016-04-01
AAPL,theguardian,Why I have finally taken off the Apple Watch for the last time,2016-06-09
AAPL,theguardian,Documents confirm Apple is building self-driving car,2015-08-14
AAPL,theguardian,Apple's new 'digital wellbeing' tools aim to help reduce,2018-06-04
AAPL,theguardian,Why is New York known as the Big Apple?,2015-09-26
AAPL,theguardian,Apple ordered to pay €13bn after EU rules Ireland broke,2016-08-30
AAPL,theguardian,"Apple reports surprise drop in iPhones sales, again",2017-05-02
AAPL,theguardian,How to cook the perfect apple and blackberry pie | Food,2019-10-02
AAPL,theguardian,Apple reduces speed of iPhones as batteries wear out,2017-12-19
AAPL,theguardian,iOS 9: 21 tips and tricks to unlock Apple's new functions,2015-10-08
AAPL,theguardian,Apple expects your iPhone to be replaced after three years,2016-04-15
AAPL,theguardian,Apple could never recreate the success of the iPhone. But,2016-07-30
AAPL,theguardian,How to cook the perfect French apple tart – recipe | Food,2018-09-19
AAPL,theguardian,Apple's shock downgrade rattles global stock markets,2019-01-03
AAPL,theguardian,Apple Watch apps: the lowdown,2015-03-09
AAPL,theguardian,'Error 53' fury mounts as Apple software update threatens,2016-02-05
AAPL,theguardian,Apple secretly moved parts of empire to Jersey after row,2017-11-06
AAPL,theguardian,Apple hints 'iPhone 8' won't be delayed as company's,2017-08-01
AAPL,theguardian,Apple Watch update: will you be wearing one soon?,2015-02-06
AAPL,theguardian,Apple shares fall after reports of cuts to iPhone 6S and,2016-01-06
AAPL,theguardian,A brief guide to everything that's annoying about Apple,2016-04-27
AAPL,theguardian,Confessions of an Apple fanboy: I'm going to miss the queues,2015-04-08
AAPL,theguardian,Apple under pressure as lawyers pledge action over 'Error,2016-02-08
AAPL,theguardian,Is the Apple queue dead? A leaked memo suggests it,2015-04-07
AAPL,theguardian,Apple increases App Store prices by 25% following Brexit,2017-01-17
AAPL,theguardian,Apple chief: driverless car venture is 'the mother of all AI,2017-06-13
AAPL,theguardian,Apple reveals waterproof iPhone 7 with new camera ..,2016-09-07
AAPL,theguardian,Apple under fire over reports students worked illegal,2017-11-21
AAPL,theguardian,From Macs to iPods and apps: how Apple revolutionised,2018-08-02
AAPL,theguardian,Huawei beats Apple to become second-largest,2018-08-01
AAPL,theguardian,iPhone 7 debut expected at Apple product launch next week,2016-08-29
AAPL,theguardian,Inside the FBI's encryption battle with Apple,2016-02-18
AAPL,theguardian,Apple reports improving racial and gender diversity among,2016-08-03
AAPL,theguardian,Apple becomes world's first trillion-dollar company,2018-08-02
AAPL,theguardian,Life and death in Apple's forbidden city,2017-06-18
AAPL,theguardian,What price privacy when Apple gets into bed with China?,2018-03-04
AAPL,theguardian,Apple: iPhone 6S and 6S Plus unveiled alongside,2015-09-09
AAPL,theguardian,Apple Watch: the fashion verdict,2015-04-28
AAPL,theguardian,Apple apologises for allowing workers to listen to Siri,2019-08-29
AAPL,theguardian,Jony Ive: 8 hits and 8 misses from 20 years at Apple,2019-06-28
AAPL,theguardian,"Apple event: iPhone X, 8 and 8 Plus release dates revealed",2017-09-12
AAPL,theguardian,What does the Apple Music launch mean for music fans?,2015-06-09
AAPL,theguardian,Can Apple's $1.5bn green bond inspire more,2016-03-20
AAPL,theguardian,Tim Cook says Apple's refusal to unlock iPhone for FBI is a,2016-02-22
AAPL,theguardian,"A letter to... my neighbours, and their apple tree | Family",2019-01-19
AAPL,theguardian,Uber broke Apple's iOS privacy rules and Tim Cook wasn't,2017-04-24
AAPL,theguardian,Cosmic Crisp apple that can reportedly last for a year to hit,2019-12-02
AAPL,theguardian,Hong Kong protests: Apple pulls tracking app after China,2019-10-10
AAPL,theguardian,"Apple launch event: new MacBook Pro, US TV app and more",2016-10-27
AAPL,theguardian,Apple and Google named in US lawsuit over Congolese,2019-12-16
AAPL,theguardian,Brexit hits Apple Mac customers hard as prices rise by up,2016-10-28
AAPL,theguardian,Apple halts practice of contractors listening in to users on Siri,2019-08-02
AAPL,theguardian,Apple admits slowing older iPhones because of ageing,2017-12-20
AAPL,theguardian,San Bernardino iPhone: US ends Apple case after,2016-03-28
AAPL,theguardian,iPhone 'XS' and more: what to expect from Apple's 2018,2018-09-10
AAPL,theguardian,Apple: expect a radical iPhone redesign for its 10th,2017-09-01
AAPL,theguardian,Apple's annual profits fall for first time in 15 years as,2016-10-25
AAPL,theguardian,FBI confirms it won't tell Apple how it hacked San,2016-04-27
AAPL,theguardian,Apple and Samsung fined for deliberately slowing down,2018-10-24
AAPL,theguardian,Apple unveils streaming service Apple Music and 24-hour,2015-06-08
AAPL,theguardian,Claps and cheers: Apple stores' carefully managed drama,2018-12-04
AAPL,theguardian,Google paid Apple $1bn to be default iOS search engine,2016-01-22
AAPL,theguardian,Apple says Meltdown and Spectre flaws affect all Mac and,2018-01-05
AAPL,theguardian,Three Apple workers hurt walking into glass walls in first,2018-03-05
AAPL,theguardian,Geneticists trace humble apple's exotic lineage all the way,2017-08-15
AAPL,theguardian,Apple might let developers pay to have their apps,2016-04-14
AAPL,theguardian,Workflow bought by Apple: one of the best apps for power,2017-03-23
AAPL,theguardian,Steve Jobs' vision for Apple realized as iPhones reveal,2015-05-17
AAPL,theguardian,Sidestepping Apple: the third-party tinkerers fighting for,2019-05-08
AAPL,theguardian,Tim Cook: Apple products aren't just for the rich,2017-09-12
AAPL,theguardian,iPhone X: even an embarrassing launch glitch can't knock,2017-09-12
AAPL,theguardian,Apple becomes first company worth $800bn,2017-05-10
AAPL,theguardian,Apple's woes go far beyond the slowdown in the Chinese,2019-01-04
AAPL,theguardian,Apple has always been a control freak. But is it guilty of,2018-12-02
AAPL,theguardian,Cupertino's mayor urges Apple to pay more tax,2016-05-05
AAPL,theguardian,Apple shares hit record high as iPhone X pre-sales fuel 19,2017-11-02
AAPL,theguardian,Apple leaves Facebook offices in disarray after revoking,2019-01-31
AAPL,theguardian,Apple News arrives in the UK with 14 newspaper and,2015-10-22
AAPL,theguardian,Apple and Rain by Sarah Crossan - review | Children's books,2015-04-11
AAPL,theguardian,Apple TV+: should you shell out for the new streaming,2019-11-01
AAPL,theguardian,"Apple made Siri deflect questions on feminism, leaked",2019-09-06
AAPL,theguardian,Apple ends contracts for hundreds of workers hired to listen,2019-08-28
AAPL,theguardian,Apple plans to invest in augmented reality following,2016-07-26
AAPL,theguardian,Tim Cook orders retraining for all Apple store staff after,2015-11-13
AAPL,theguardian,Apple event: 'greenest ever' MacBook Air and new iPad,2018-10-30
AAPL,theguardian,"Fake news is 'killing people's minds', says Apple boss Tim",2017-02-10
AAPL,theguardian,Apple's WWDC 2017: what to expect from the keynote,2017-06-05
AAPL,theguardian,Apple Music to pay royalties during free trial: 'We hear you,2015-06-22
AAPL,theguardian,Apple calls 2015 'most successful year ever' after making,2015-10-27
AAPL,theguardian,"Apple reports $64bn in revenue, citing strong wearables",2019-10-30
AAPL,theguardian,iOS 12: how to install Apple's latest iPhone software right now,2018-06-26
AAPL,theguardian,Apple reports first decline in revenues and profits in over a,2019-01-29
AAPL,theguardian,'Political crap': Tim Cook condemns Apple tax ruling,2016-09-01
AAPL,theguardian,Warren Buffett buys $1bn of Apple stocks in first for,2016-05-16
AAPL,theguardian,Apple signs up Oprah Winfrey in $1bn programming push,2018-06-15
AAPL,theguardian,Apple to fix 'touch disease' flaw for iPhone 6 Plus,2016-11-18
AAPL,theguardian,Apple's spaceship HQ valued as one of the world's most,2019-07-13
AAPL,theguardian,Apple pushes out update to fix iPhone broken-links bug,2016-04-01
AAPL,theguardian,iPhone 11 and Apple Watch 5 launch – as it happened,2019-09-10
AAPL,theguardian,New iPhones: why is Apple's pricing the same in pounds,2017-09-13
AAPL,theguardian,Apple's six defining products - in pictures,2018-08-02
AAPL,theguardian,Apple faces lawsuits over its intentional slowing of older,2017-12-22
AAPL,theguardian,Crunch time for Apple as it prepares for face-off with FBI,2016-02-27
AAPL,theguardian,Core subject: how to turn apple peelings into healthy vinegar,2019-09-21
AAPL,theguardian,Apple iPad Pro and iPhone 6S launch: key points at a glance,2015-09-09
AAPL,theguardian,Seven things we've learned from the first year of Apple Music,2016-06-30
AAPL,theguardian,AirPods: Apple says it needs 'more time' before selling new,2016-10-26
AAPL,theguardian,"Taylor Swift criticises 'shocking, disappointing' Apple Music",2015-06-21
AAPL,theguardian,Apple event: 10 things you may have missed,2019-03-26
AAPL,theguardian,Apple v the FBI: why the 1789 All Writs Act is the wrong tool,2016-02-24
AAPL,theguardian,Are Apple AirPods Pro wireless earbuds really worth it?,2019-11-23
AAPL,theguardian,Apple updates iPad line and launches red iPhone 7,2017-03-21
AAPL,theguardian,Apple's iPhone cost faces sharp increase as US-China,2019-05-13
AAPL,theguardian,Apple gets patent for remotely disabling iPhone cameras,2016-06-30
AAPL,theguardian,"Safari web browser issue resolved, says Apple",2016-01-27
AAPL,theguardian,Apple to pay $450m settlement over US ebook price fixing,2016-03-07
AAPL,theguardian,"Apple's 30% app store commission unfair, Spotify claims",2019-03-13
AAPL,theguardian,Stockholm says no to Apple 'town square' in its oldest park,2018-11-01
AAPL,theguardian,Apple Card issuer investigated after claims of sexist credit,2019-11-10
AAPL,theguardian,Apple unveils TV subscription service with help from Oprah,2019-03-25
AAPL,theguardian,"Apple v the FBI: what's the beef, how did we get here and",2016-02-20
AAPL,theguardian,The $20000 iPod: vintage Apple products net the big bucks,2016-05-11
AAPL,theguardian,"The billion-dollar palaces of Apple, Facebook and Google",2017-07-23
AAPL,theguardian,Apple exit sends UK chip firm's shares into freefall,2017-04-03
AAPL,theguardian,Apple Arcade v Google Stadia: which is the future for video,2019-03-27
AAPL,theguardian,Apple to pay 10 years of back taxes to France,2019-02-05
AAPL,theguardian,Apple says iPhone 'Error 53' is to protect customers' security,2016-02-06
AAPL,theguardian,Apple challenges 'chilling' demand to decrypt San,2016-02-17
AAPL,theguardian,Does Apple's sales slump mean the firm has finally peaked?,2018-11-16
AAPL,theguardian,"Tim Cook defends Apple iPhone Smart Battery Case, says",2015-12-10
AAPL,theguardian,iMac Pro: Apple launches powerful new desktop,2017-06-06
AAPL,theguardian,Apple can't just make iPhones for ever. What's next?,2017-05-07
AAPL,theguardian,"Apple releases new, faster MacBook Pro laptops",2018-07-12
AAPL,theguardian,Apple accused of trying to make iPhones 'warrant-proof' in,2016-03-10
AAPL,theguardian,Apple 'error 53' sting operation caught staff misleading,2017-06-04
AAPL,theguardian,That one time Apple patented a pizza box,2017-05-16
AAPL,theguardian,Apple transparency report: over 1000 government requests,2016-04-19
AAPL,theguardian,New MacBooks mark Apple's return to high-end laptops in,2016-10-30
AAPL,theguardian,Has Apple lost its simplicity?,2016-06-02
AAPL,theguardian,New iPhone and iPad expected to be announced by Apple,2016-03-11
AAPL,theguardian,"Apple kills off iPod Nano and Shuffle, marking the end of",2017-07-28
AAPL,theguardian,"Apple launches iPhone XS, XS Max and XR – as it happened",2018-09-12
AAPL,theguardian,Chips are down: Apple to stop using Intel processors in,2018-04-03
AAPL,theguardian,"The saga of Gwyneth, Apple and Instagram is a parenting",2019-04-01
AAPL,theguardian,Apple flips out with clamshell iPhone patent,2016-11-23
AAPL,theguardian,Apple's Beats deal finally starts to make some sense,2015-05-10
AAPL,theguardian,Apple scraps €850m Irish data centre after planning delays,2018-05-10
AAPL,theguardian,Spotify's new features see it step up competition with Apple,2015-05-21
AAPL,theguardian,Apple Martin tells off mother Gwyneth Paltrow for sharing,2019-03-28
AAPL,theguardian,Apple: don't use Face ID on an iPhone X if you're under 13,2017-09-27
AAPL,theguardian,iPhone slump: the rivals taking a bite out of Apple,2019-01-03
AAPL,theguardian,iOS 10: the top 10 things you need to know about Apple's,2016-09-13
AAPL,theguardian,Anna Jones' recipes for easy carrot and apple flapjacks,2019-05-24
AAPL,theguardian,"Apple, Google, Facebook and Microsoft file opposition to",2017-02-06
AAPL,theguardian,"Apple's senior executives are 70% white men, diversity",2015-08-13
AAPL,theguardian,Apple CEO Tim Cook: FBI asked us to make software ',2016-02-24
AAPL,theguardian,Apple and Rain by Sarah Crossan – review,2016-01-16
AAPL,theguardian,"Apple announces iPhone SE: a smaller, cheaper smartphone",2016-03-21
AAPL,theguardian,Apple Watch Series 5 review: the king of smartwatches,2019-10-23
AAPL,theguardian,iPhone 11: Apple's most ambitious bid yet to conquer video,2019-09-11
AAPL,theguardian,Apple supplier to slash expenses amid concern over,2018-11-21
AAPL,theguardian,Game that tune: Apple snaps up Shazam for reported $400m,2017-12-11
AAPL,theguardian,Apple patents bold new innovation – a paper bag,2016-09-20
AAPL,theguardian,Apple WWDC 2017 keynote: HomePod speaker and iMac,2017-06-05
AAPL,theguardian,Apple blocking ads that follow users around web is ',2017-09-18
AAPL,theguardian,"Apple's new iOS, MacOS and more expected on 13 June",2016-04-19
AAPL,theguardian,Apple ad-blocking software scares publishers but Google,2016-01-01
AAPL,theguardian,How did Apple's AirPods go from mockery to millennial,2019-02-10
AAPL,theguardian,"Introducing Moments from the Guardian App, built for Apple",2015-03-09
AAPL,theguardian,iPhone X review: Apple finally knocks it out of the park,2017-11-10
AAPL,theguardian,Apple announces new Mac Pro at WWDC – live updates,2019-06-03
AAPL,theguardian,Apple became the greatest. But is its crown slipping?,2019-01-27
AAPL,theguardian,Apple accuses FBI of violating constitutional rights in,2016-02-25
AAPL,theguardian,Apple Beats 1 DJ Julie Adenuga: 'I used to work at,2015-09-01
AAPL,theguardian,Cyanide in fruit seeds: how dangerous is an apple?,2015-10-11
AAPL,theguardian,Is Apple intentionally slowing down your old iPhone,2017-10-09
AAPL,theguardian,"Apple declares victory in battle with FBI, but the war",2016-03-29
AAPL,theguardian,Body found in conference room on Apple campus,2016-04-27
AAPL,theguardian,The Apple Tart of Hope by Sarah Moore Fitzgerald - review,2015-01-11
AAPL,theguardian,Apple leaks images that apparently show new MacBook Pro,2016-10-26
